epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1858.25,1.59004,1.80879,1.26318,0.67354,0.45857,0.53659,0.22269,2.26641,2.79332,1.62136,0.000693351,0.000693351,0.000693351
80,1881.82,1.58522,1.78214,1.2541,0.63573,0.52095,0.54662,0.23219,2.147,2.78099,1.59028,0.000683919,0.000683919,0.000683919
81,1903.59,1.61261,1.82242,1.24663,0.65208,0.54817,0.56038,0.23384,2.22796,2.7762,1.63011,0.000674488,0.000674488,0.000674488
82,1925.18,1.57997,1.76164,1.2367,0.68824,0.53789,0.60091,0.24675,2.20964,2.86155,1.56748,0.000665057,0.000665057,0.000665057
83,1945.91,1.57891,1.76972,1.24193,0.64065,0.52263,0.56522,0.23315,2.19099,2.77887,1.59353,0.000655625,0.000655625,0.000655625
84,1973.05,1.58595,1.79839,1.23954,0.63278,0.50603,0.54356,0.23601,2.19099,2.68704,1.6008,0.000646194,0.000646194,0.000646194
85,1993.92,1.56729,1.78386,1.24237,0.68029,0.52763,0.56607,0.2374,2.16083,2.77677,1.56313,0.000636762,0.000636762,0.000636762
86,2014.38,1.54643,1.71831,1.24828,0.60666,0.56115,0.58164,0.23458,2.16578,2.60298,1.58365,0.000627331,0.000627331,0.000627331
87,2037.65,1.56611,1.74487,1.23549,0.64023,0.54693,0.5663,0.25135,2.21497,2.80966,1.56543,0.0006179,0.0006179,0.0006179
88,2058.96,1.56241,1.76323,1.23901,0.64383,0.53852,0.56664,0.23141,2.1574,2.70169,1.57813,0.000608468,0.000608468,0.000608468
89,2078.51,1.54182,1.69825,1.23726,0.69205,0.53221,0.5902,0.25493,2.15824,2.71167,1.56129,0.000599037,0.000599037,0.000599037
90,2104.7,1.53308,1.69461,1.21588,0.63305,0.54998,0.56357,0.23109,2.16356,2.83215,1.61113,0.000589605,0.000589605,0.000589605
91,2127.41,1.53061,1.63633,1.22646,0.69589,0.50309,0.56451,0.24373,2.19698,2.84103,1.61368,0.000580174,0.000580174,0.000580174
92,2156.94,1.55872,1.69439,1.23408,0.67575,0.52051,0.55005,0.23342,2.23358,2.87858,1.60574,0.000570743,0.000570743,0.000570743
93,2187.08,1.55487,1.64991,1.21319,0.66416,0.51171,0.54821,0.2284,2.14788,2.80035,1.57138,0.000561311,0.000561311,0.000561311
94,2209.21,1.53581,1.69118,1.22544,0.62324,0.52703,0.54062,0.23348,2.17677,2.77311,1.58062,0.00055188,0.00055188,0.00055188
95,2233.41,1.52011,1.66521,1.22759,0.65115,0.52703,0.55181,0.23611,2.19831,2.92855,1.52812,0.000542448,0.000542448,0.000542448
96,2254.63,1.56069,1.67987,1.23336,0.67494,0.54352,0.55074,0.23551,2.17765,2.82863,1.56389,0.000533017,0.000533017,0.000533017
