epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1879.41,1.56163,1.71046,1.24308,0.66058,0.52914,0.57951,0.25491,2.15569,2.43275,1.51867,0.000627331,0.000627331,0.000627331
87,1901.01,1.58406,1.76543,1.22825,0.67254,0.55403,0.55927,0.24572,2.21448,2.49806,1.553,0.0006179,0.0006179,0.0006179
88,1921.6,1.58753,1.77315,1.23402,0.69148,0.52586,0.52734,0.23282,2.17594,2.48704,1.53512,0.000608468,0.000608468,0.000608468
89,1940.56,1.55168,1.67248,1.22677,0.63677,0.54853,0.55127,0.24184,2.1926,2.52565,1.56161,0.000599037,0.000599037,0.000599037
90,1963.04,1.56116,1.68375,1.21393,0.71944,0.49159,0.52528,0.23222,2.17864,2.67437,1.56156,0.000589605,0.000589605,0.000589605
91,1982.21,1.54852,1.66804,1.2226,0.61268,0.54171,0.52471,0.22602,2.26461,2.58107,1.61948,0.000580174,0.000580174,0.000580174
92,2009.69,1.56963,1.68837,1.2264,0.56799,0.55435,0.52946,0.22868,2.25851,2.7892,1.57802,0.000570743,0.000570743,0.000570743
93,2042.16,1.55269,1.64414,1.20482,0.59499,0.55486,0.53984,0.22519,2.20446,2.60512,1.58379,0.000561311,0.000561311,0.000561311
94,2064.63,1.5457,1.66981,1.21624,0.614,0.53552,0.52855,0.23452,2.20411,2.63844,1.53924,0.00055188,0.00055188,0.00055188
95,2093.33,1.52978,1.66026,1.22248,0.62679,0.50997,0.52783,0.22056,2.30233,2.64481,1.57627,0.000542448,0.000542448,0.000542448
96,2114.28,1.56471,1.67726,1.21538,0.67959,0.50926,0.54153,0.22723,2.24544,2.61871,1.59301,0.000533017,0.000533017,0.000533017
97,2134.31,1.5325,1.65731,1.20944,0.62403,0.51106,0.53209,0.22372,2.28677,2.60394,1.60683,0.000523586,0.000523586,0.000523586
98,2155.77,1.53681,1.65783,1.21381,0.65414,0.53733,0.546,0.22389,2.2617,2.62619,1.62786,0.000514154,0.000514154,0.000514154
99,2174.58,1.54787,1.6551,1.20644,0.63602,0.51027,0.53711,0.22249,2.26951,2.61141,1.61981,0.000504723,0.000504723,0.000504723
100,2202.37,1.55026,1.63361,1.19614,0.62953,0.54273,0.52709,0.23073,2.28143,2.64953,1.61951,0.000495291,0.000495291,0.000495291
101,2226.91,1.54665,1.63448,1.20854,0.59693,0.55058,0.54129,0.22727,2.32778,2.58331,1.64102,0.00048586,0.00048586,0.00048586
102,2247.85,1.51534,1.58312,1.20209,0.62409,0.55395,0.53769,0.22503,2.27691,2.60829,1.64147,0.000476429,0.000476429,0.000476429
103,2268.27,1.51828,1.5883,1.18871,0.62402,0.52924,0.53709,0.22446,2.26833,2.56018,1.60805,0.000466997,0.000466997,0.000466997
104,2292.05,1.51779,1.5914,1.18205,0.64004,0.51762,0.52292,0.22113,2.30451,2.80544,1.63955,0.000457566,0.000457566,0.000457566
105,2312.96,1.50439,1.54426,1.18222,0.64898,0.51655,0.52086,0.21599,2.2736,2.62298,1.60324,0.000448134,0.000448134,0.000448134
106,2332.95,1.51391,1.57442,1.19559,0.65034,0.51298,0.52262,0.22878,2.31627,2.65318,1.6271,0.000438703,0.000438703,0.000438703
107,2353.57,1.53196,1.61169,1.19045,0.59119,0.56117,0.54781,0.23464,2.26181,2.6719,1.58568,0.000429272,0.000429272,0.000429272
108,2379.03,1.52702,1.57272,1.17968,0.64921,0.54032,0.54764,0.23604,2.27328,2.56901,1.63482,0.00041984,0.00041984,0.00041984
109,2398.56,1.51338,1.57451,1.18104,0.64541,0.52944,0.54143,0.22768,2.22823,2.57623,1.55694,0.000410409,0.000410409,0.000410409
110,2420.81,1.49597,1.56957,1.18896,0.68417,0.46923,0.52134,0.2196,2.29893,2.66166,1.61942,0.000400977,0.000400977,0.000400977
111,2444.66,1.49982,1.56087,1.18335,0.6396,0.51149,0.53505,0.22737,2.25691,2.57121,1.5925,0.000391546,0.000391546,0.000391546
112,2462.54,1.49671,1.52686,1.17329,0.60976,0.51677,0.53923,0.23483,2.29097,2.64954,1.59454,0.000382115,0.000382115,0.000382115
113,2484.52,1.48393,1.53899,1.16797,0.58601,0.5545,0.54272,0.23743,2.30867,2.55721,1.59909,0.000372683,0.000372683,0.000372683
114,2503.97,1.46165,1.51922,1.1939,0.65348,0.54262,0.56375,0.24379,2.31976,2.56312,1.6116,0.000363252,0.000363252,0.000363252
115,2530.89,1.49597,1.51896,1.17519,0.65533,0.50384,0.54904,0.2263,2.27579,2.6177,1.63097,0.00035382,0.00035382,0.00035382
116,2551.08,1.47945,1.51374,1.17756,0.68792,0.50323,0.53637,0.23121,2.33642,2.61647,1.61373,0.000344389,0.000344389,0.000344389
117,2572.06,1.46596,1.48702,1.16199,0.63918,0.57476,0.57598,0.24755,2.21473,2.43386,1.57283,0.000334958,0.000334958,0.000334958
118,2590.97,1.47222,1.49153,1.18706,0.67675,0.53854,0.55643,0.24037,2.34116,2.65865,1.59427,0.000325526,0.000325526,0.000325526
119,2610.52,1.47262,1.47922,1.17621,0.63809,0.57333,0.57503,0.25268,2.26497,2.4595,1.59422,0.000316095,0.000316095,0.000316095
120,2633.34,1.46032,1.51198,1.17943,0.65342,0.55029,0.55254,0.24176,2.24837,2.58658,1.58657,0.000306663,0.000306663,0.000306663
121,2670.64,1.46673,1.47247,1.16058,0.67058,0.55811,0.57221,0.24035,2.22182,2.57802,1.5817,0.000297232,0.000297232,0.000297232
122,2705.91,1.47313,1.47027,1.16711,0.68599,0.5653,0.57634,0.24032,2.27586,2.59572,1.61427,0.000287801,0.000287801,0.000287801
123,2726.98,1.44216,1.44789,1.15503,0.70017,0.54245,0.5707,0.24171,2.29778,2.58719,1.64442,0.000278369,0.000278369,0.000278369
124,2749.76,1.46699,1.477,1.17347,0.66507,0.55783,0.56745,0.24293,2.29503,2.65249,1.60355,0.000268938,0.000268938,0.000268938
125,2771.01,1.45509,1.43772,1.15742,0.70484,0.52551,0.55744,0.23509,2.3486,2.63126,1.62076,0.000259506,0.000259506,0.000259506
126,2791.76,1.4431,1.42436,1.16599,0.69714,0.5343,0.55987,0.22838,2.3359,2.56347,1.61211,0.000250075,0.000250075,0.000250075
127,2812.35,1.42266,1.4177,1.16119,0.6975,0.54062,0.57065,0.23697,2.30471,2.61847,1.59893,0.000240644,0.000240644,0.000240644
128,2834.38,1.43186,1.42984,1.16717,0.69276,0.5275,0.56693,0.23547,2.31493,2.56019,1.60516,0.000231212,0.000231212,0.000231212
129,2856.16,1.44446,1.42283,1.14949,0.61764,0.56672,0.53689,0.22802,2.28443,2.62182,1.59829,0.000221781,0.000221781,0.000221781
130,2876.25,1.4264,1.41355,1.1473,0.67155,0.567,0.56988,0.24455,2.2994,2.62131,1.59649,0.000212349,0.000212349,0.000212349
131,2896.79,1.42377,1.39335,1.15325,0.68139,0.53205,0.53391,0.2333,2.36338,2.63583,1.61575,0.000202918,0.000202918,0.000202918
132,2917.98,1.41353,1.40873,1.16327,0.64407,0.54205,0.52964,0.22712,2.35115,2.65952,1.61982,0.000193487,0.000193487,0.000193487
133,2939.35,1.43653,1.41017,1.153,0.68775,0.53833,0.5506,0.24295,2.3357,2.61215,1.61742,0.000184055,0.000184055,0.000184055
134,2957.69,1.41815,1.39324,1.13622,0.69148,0.52838,0.5421,0.23696,2.33395,2.59187,1.64396,0.000174624,0.000174624,0.000174624
135,2981.38,1.41788,1.41284,1.15998,0.66739,0.54815,0.54909,0.23871,2.31294,2.6542,1.62253,0.000165192,0.000165192,0.000165192
136,3002.93,1.4248,1.39725,1.1589,0.72751,0.50969,0.56616,0.24714,2.29551,2.64583,1.6009,0.000155761,0.000155761,0.000155761
137,3022.5,1.41616,1.37269,1.14813,0.63797,0.53658,0.53759,0.23457,2.37596,2.62955,1.63177,0.00014633,0.00014633,0.00014633
138,3041.97,1.43234,1.41176,1.13849,0.67328,0.55125,0.56785,0.24392,2.32131,2.5782,1.61187,0.000136898,0.000136898,0.000136898
139,3063.42,1.42148,1.38269,1.15512,0.65023,0.55528,0.55863,0.23911,2.32883,2.58367,1.6183,0.000127467,0.000127467,0.000127467
140,3084.86,1.40197,1.34462,1.13712,0.65524,0.54871,0.54421,0.2425,2.31072,2.56227,1.59586,0.000118035,0.000118035,0.000118035
141,3107.54,1.4275,1.35814,1.1472,0.63532,0.53682,0.54007,0.23368,2.33686,2.60867,1.61302,0.000108604,0.000108604,0.000108604
142,3128.08,1.40999,1.3009,1.11909,0.66543,0.53335,0.55202,0.24297,2.34399,2.65128,1.60304,9.91726e-05,9.91726e-05,9.91726e-05
143,3151.84,1.43539,1.36657,1.14695,0.67579,0.5283,0.54463,0.23759,2.35192,2.65331,1.60288,8.97412e-05,8.97412e-05,8.97412e-05
144,3171.66,1.40459,1.26049,1.10366,0.70331,0.52534,0.55257,0.24248,2.33904,2.66242,1.60593,8.03098e-05,8.03098e-05,8.03098e-05
145,3196.4,1.4226,1.31318,1.14053,0.72339,0.53774,0.56224,0.24062,2.33155,2.65686,1.60535,7.08784e-05,7.08784e-05,7.08784e-05
146,3216.07,1.36636,1.25347,1.10192,0.67919,0.52326,0.54937,0.23918,2.34436,2.61664,1.61741,6.1447e-05,6.1447e-05,6.1447e-05
